Tweet_ID,Tweet,Label
1,#الرياض #أمطار_الرياض #السعودية #مطر #الرياض_تغرق #أمطار_الرياض #قحاب,OBJ
2,من بين الأسماء محمود القرش، مصر الجديدة وآخرين والحالات تتابع المعلومات التي أنشرها غير سرية وعلى المحامين السؤال في النيابات حول الداخلية,OBJ
3,مقتل طفلة لبنانية في تبادل إطلاق نار بين علويين وسنة,OBJ
4,#الروح_و_الجسد #مصطفي_محمود,OBJ
5,دعبد المنعم أبو الفتوح فى عيون العالم,OBJ
6,عندما يستمر القضاء في التحقيق في بلاغات عبثية تهدف الي تشويه المعارضة وتنتهي بدون معاقبة مقدميها فنحن ننضم بإمتياز الي قائمة النظم البوليسية,NEG
7,"جدول إعادة ""آخر كلام"": الإثنين 20 يونيو ( حلقة جمعة الغضب مع روبرت فيسك)، الثلاثاء (اليوم الحادي عشر للثورة مع",OBJ
8,مرسي بيغير من باسم يوسف عشان باسم الناس بتضحك معاه ومرسي الناس بتضحك عليه,NEUTRAL
9,إذا استمرت القيادة المصرية الحالية في نهجها فسنرى تمردا وإرهابا في #مصر,NEG
10,مش حتقولي ازاي اشجع #الكورة_للجماهير,OBJ
11,"سامي الجابر يتحمل كل شيء لأنه اعطي الصلاحية كاملة،مين يختار اللعيبة والتشكيلة ومين يضع التكتيك ""اذا كان فيه تكتيك",NEG
12,محمد بديع: أطلب من أبي محمد حسني مبارك أن يرفع الظلم على المسجونين #مصر #فلسطين #تونس #قطر #سوريا #الإمارات #لبنان,NEG
13,بوستر فيلم الشتا إاللي فات,OBJ
14,تراجع تصنيف مصر للمركز الأخير عالمياً فى مستوى المعيشة # #,OBJ
15,حزب الكنبة,OBJ
16,استمعت للعمال: لا حق في انشاء نقابات مستقلة، 8 مليون بعقود مؤقتة، استبعاد 30 ألف مرشح من الاتخابات النقابية، عدم وجود حد إنساني لللأجور,NEG
17,وحياة قلبي وأفراحه️ #الشباب_الاهلي ٣-٠,POS
18,مشاهد من مسرح حكم الفرد الجزء الأول مقال اليوم في الشروق,OBJ
19,لا اعترف بسفير يدين مواطنه قبل ان يجرى تحقيق محايد وعادل لا تعرفه السعودية هذا سفير مبارك وليس سفير مصر أبدا,NEG
20,محدّث- #مصر توقع اتفاقات لشراء 425 مليون طن من #القمح المحلي - الأخبار - أصوات مصرية #اقتصاد,OBJ
21,دعمرو حمزاوي يشرح المادة الاولي في الدستور الجديد,OBJ
22,وجود شئ مكملنى #الاهلى,OBJ
23,#اعرفوهم #انقلاب_مصر #يسقط_حكم_العسكر #الداخلية_بلطجية #الحرية لنور الدين محمود 15سنة #الدقهلية طالب بالثانوي الأزهري,NEG
24,"بلاغ لـ""#النائب_العام"": ""#برهامي"" يدعو للفحشاء والفجور و الزنى #بوابة_القاهرة #مصر",OBJ
25,الصحافة العالمية ومحاكمة مرسي لا روبوبليكا الايطالية: مع بدء محاكمة الرئيس السابق مرسى يطالب بوضع حد للمهزلة,OBJ
26,#هانزل_8_30علشان مش هاقبل ان ديني يتهان واقف ساكته,OBJ
27,الاخت الفاضلة حسين فهمى صاحبة أشهر مواقف سياسية ترفض المصالحة مع الاخوان لانهم قتلة حد يقول للامورة أم شعر دهبي بلاش انتى يا حلوة,NEUTRAL
28,أرجو لكل من يقرأ تصريح لى أن يتأكد من مصدره و يقرأه بنفسه  قبل أن يصدر أحكامه!,OBJ
29,#عن احساسك كزملكاوى لما عمر جابر جاب الجول انهرده #زمالك,OBJ
30,الحُب هو أن تخالف هواك من أجل مُراد حبيبك فاللهم اجعل ما نُحب هو ما تُحب ~ #مصطفى_حسني ~,OBJ
31,صوتك العالي دليل على ضعف موقفك,NEG
32,رتويت تلقائي لجميع تغريداتك من حسابات حقيقيه للتواصل واتس اب 0558196947 #رتويت #فايروس_كرونا #سيف_عبدالله #ميسي #برشلونة_فيار…,OBJ
33,لو كل #زملكاوى/ه قعدو يشتمو فـ #ميدو واللعيبة أنا مقدر ظرفكو ماشى وأحب أقولكو عندك 21 فريق تانى ممكن تشجعهم يا كــمك بس متشتمش #الزمالك :/,NEG
34,يسقط دستور جمهورية مرسي الإخوانية,NEG
35,#لماذا_العرب_متأخرين_عن_الأمم لاننا نعيش حاضرنا نتغنى بأمجاد تاريخنا اللذي لانعمل منه شيئاومنغلقين في قشور الامور فقط,OBJ
36,#شاهد_سكاي : #عيد_العمال تراجع أعدد العاطلين,OBJ
37,"#محمود_عباس: ""#الهولوكوست"" أبشع جريمة في التاريخ الحديث",NEG
38,إن للطاعة نورا في القلب وضياء في الوجه وسعة في الرزق ومحبة في قلوب الناس وان للمعصية ظلمة فى القلب و سواداً فى,OBJ
39,#مصر #خالد_علي : السلطة تمارس إجراما سياسيا ضد الفقراء,OBJ
40,الحلقة العاشرة - الجزء الثالث - مو عامر (ستاند أب كوميدي),OBJ
41,! #مثقفون_فضحهم_الربيع_العربي #واحد_فاضي #الام #عيد_الأم #يوم_الأم #يومك_يا_أمي #عيد_الأم2014 #عيد_م…,OBJ
42,ناتشوز️ #الرياض #استيكي,OBJ
43,"راقب تغريداتگ وماتكتب #غرد_بصورة #غرد_بالخير #تذكير #دعم_البنات """"",OBJ
44,== #حب #سادي #زب_كبير #خليجي #عمة #ورعان_خليجي #الرياض #أسوان,OBJ
45,2016: بنزيما : علينا تقديم 120% طيلة المباراة للفوز بها #ريال_مدريد ,OBJ
46,الآن: هبة موريف منسق منظمة ضيفة آخر كلام على الهواء - 12398 -,OBJ
